"Year","Total.States","Total.ECvotes","Safe.Republican.States","Safe.Democratic.States","Competitive.States","Safe.Republican.ECvotes","Safe.Democratic.ECvotes","Competitive.ECvotes","Rep.Competitive.Wins","Dem.Competitive.Wins","Rep.Total.ECwins","Dem.Total.ECwins"
1868,33,291,20,5,8,153,37,101,58,43,211,80
1872,37,366,26,3,8,269,34,63,31,32,300,66
1876,37,366,9,13,15,64,119,183,118,65,182,184
1880,38,369,11,14,13,95,125,149,118,31,213,156
1884,38,401,11,13,14,93,123,185,89,96,182,219
1888,38,401,13,11,14,112,100,189,121,68,233,168
1892,44,444,15,14,15,112,150,182,61,121,173,271
1896,45,447,17,16,12,203,126,118,70,48,273,174
1900,45,447,24,14,7,258,122,67,34,33,292,155
1904,45,476,31,11,3,317,120,39,26,13,343,133
1908,46,483,26,11,9,283,120,80,44,36,327,156
1912,48,531,2,39,7,8,467,56,15,41,23,508
1916,48,531,8,23,17,171,213,147,84,63,255,276
1920,48,531,35,10,3,382,114,35,22,13,404,127
1924,48,531,33,12,3,366,136,29,29,0,395,136
1928,48,531,38,5,5,379,52,100,65,35,444,87
1932,48,531,2,39,7,8,413,110,51,59,59,472
1936,48,531,2,45,1,8,519,4,0,4,8,523
1940,48,531,5,30,13,27,290,214,55,159,82,449
1944,48,531,6,23,19,31,215,285,68,217,99,432
1948,48,531,6,22,20,37,215,279,163,116,200,331
1952,48,531,34,5,9,379,53,99,63,36,442,89
1956,48,531,40,5,3,446,47,38,11,27,457,74
1960,50,537,18,9,23,132,86,319,88,231,220,317
1964,51,538,5,42,4,47,463,28,5,23,52,486
1968,51,538,25,11,15,175,94,269,145,124,320,218
1972,51,538,48,2,1,511,17,10,10,0,521,17
1976,51,538,13,13,25,66,114,358,175,183,241,297
1980,51,538,31,3,17,344,19,175,145,30,489,49
1984,51,538,46,1,4,498,3,37,27,10,525,13
1988,51,538,31,6,14,289,42,207,137,70,426,112
1992,51,538,12,22,17,73,263,202,95,107,168,370
1996,51,538,11,28,12,66,348,124,93,31,159,379
2000,51,538,23,12,16,189,171,178,82,96,271,267
2004,51,538,25,14,12,213,183,142,73,69,286,252
2008,51,538,19,25,7,145,291,102,29,73,174,364
2012,51,538,23,20,8,191,233,114,15,99,206,332
2016,51,538,23,15,13,188,187,163,117,46,305,233
