Month,EC
2004-01,4
2004-02,5
2004-03,4
2004-04,2
2004-05,3
2004-06,3
2004-07,7
2004-08,9
2004-09,19
2004-10,67
2004-11,76
2004-12,4
2005-01,3
2005-02,2
2005-03,2
2005-04,2
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,2
2005-11,2
2005-12,2
2006-01,1
2006-02,1
2006-03,2
2006-04,2
2006-05,1
2006-06,1
2006-07,0.5
2006-08,1
2006-09,1
2006-10,2
2006-11,3
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,2
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,2
2007-11,2
2007-12,2
2008-01,4
2008-02,4
2008-03,3
2008-04,2
2008-05,3
2008-06,2
2008-07,2
2008-08,3
2008-09,10
2008-10,21
2008-11,30
2008-12,3
2009-01,2
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,0.5
2009-07,1
2009-08,0.5
2009-09,1
2009-10,2
2009-11,2
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,0.5
2010-09,1
2010-10,2
2010-11,2
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,2
2011-11,2
2011-12,2
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,1
2012-07,1
2012-08,3
2012-09,6
2012-10,21
2012-11,46
2012-12,3
2013-01,2
2013-02,2
2013-03,1
2013-04,1
2013-05,1
2013-06,0.5
2013-07,0.5
2013-08,0.5
2013-09,1
2013-10,2
2013-11,2
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,0.5
2014-08,0.5
2014-09,1
2014-10,2
2014-11,2
2014-12,2
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,2
2015-10,3
2015-11,3
2015-12,2
2016-01,2
2016-02,4
2016-03,4
2016-04,3
2016-05,3
2016-06,2
2016-07,3
2016-08,3
2016-09,5
2016-10,12
2016-11,100
2016-12,42
2017-01,5
2017-02,4
2017-03,2
2017-04,2
2017-05,2
2017-06,1
2017-07,1
2017-08,1
2017-09,2
2017-10,3
2017-11,3
2017-12,2
2018-01,2
2018-02,2
2018-03,2
2018-04,2
2018-05,2
2018-06,1
2018-07,1
2018-08,1